date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,year,month,quarter,month_name
2024-09-11,0.0117486708720021,144565706.2888872,5902812.688597783,one,Harmony,2179020,0.0408313481815813,-0.0527771462842885,-0.0369270811521049,0.2049607208436832,2024,9,3,September
2024-09-12,0.0114816164818285,141286183.29791576,5477181.956292511,one,Harmony,2114254,0.0387665787867121,-2.2730604430325374,-2.268534547479706,-2.972253581885431,2024,9,3,September
2024-09-13,0.0120115510920765,147807254.49010408,5078562.149221503,one,Harmony,2149787,0.0343593564926241,4.615505239063622,4.615505239063622,1.6806400744659775,2024,9,3,September
2024-09-14,0.0123145297773588,151577924.97899723,7723660.492879675,one,Harmony,1835386,0.0509550483287713,2.522394343243328,2.551072680364008,-14.624751196281306,2024,9,3,September
2024-09-15,0.0126946422167879,156123053.176798,6226329.217375292,one,Harmony,2380781,0.0398809086209992,3.0866987721115624,2.9985422998966005,29.71554757418875,2024,9,3,September
2024-09-16,0.0116866901335183,143804464.3323926,7690493.713730229,one,Harmony,1696392,0.0534788245235159,-7.9399802377778546,-7.890307416967746,-28.746407166387836,2024,9,3,September
2024-09-17,0.0114043827533339,140370556.76170862,8058758.652373457,one,Harmony,1569641,0.0574106054594761,-2.415631602781909,-2.3879005332871905,-7.471798970992549,2024,9,3,September
2024-09-18,0.0119609259523099,147212128.1377644,5987113.727131447,one,Harmony,1716449,0.0406699760601828,4.88008172834582,4.87393619708294,9.352966697480516,2024,9,3,September
2024-09-19,0.0123370592222679,151812770.73600614,7237473.381132261,one,Harmony,1725712,0.0476736795333102,3.144683542542337,3.125179057214877,0.5396606598856213,2024,9,3,September
2024-09-20,0.0128413613483649,157911486.39997777,7803671.188494881,one,Harmony,1912099,0.0494180085717689,4.087701266658494,4.017261284676077,10.800585497464231,2024,9,3,September
2024-09-21,0.0134216424083657,165159028.9981053,6548421.651705753,one,Harmony,1951669,0.039649189580673,4.518843791236171,4.58962344244549,2.069453516789665,2024,9,3,September
2024-09-22,0.0140792957385014,173324053.04347456,8737210.684384316,one,Harmony,2010029,0.0504096836588097,4.899946743669337,4.943734590170634,2.9902611559644576,2024,9,3,September
2024-09-23,0.0136516011467672,168017237.86991,6861927.453396664,one,Harmony,1948317,0.040840615762947,-3.0377555786727184,-3.061788067137716,-3.070204459736648,2024,9,3,September
2024-09-24,0.0141525791491523,174119259.44900653,9976173.402009852,one,Harmony,2001226,0.0572950599122639,3.6697380548928127,3.6317830577723855,2.7156258452808224,2024,9,3,September
2024-09-25,0.0142810713526715,175734668.37335238,7814361.23827336,one,Harmony,2633921,0.0444668164261793,0.907906623697019,0.9277600476005564,31.615369778325885,2024,9,3,September
2024-09-26,0.0139929508788998,172091710.87300444,8103354.068709671,one,Harmony,2612787,0.0470874165153112,-2.0174990143005056,-2.072987381527014,-0.8023778997168107,2024,9,3,September
